id;nome;descricao;diferenca_minima
1;crisp;../fake-data/blob/hipster.txt;131.93
2;why resemblance apropos;../fake-data/blob/hipster.txt;19479.43
3;militarize;../fake-data/blob/hipster.txt;24324.71
4;skywalk;../fake-data/blob/hipster.txt;7497.71
5;outside grandiose;../fake-data/blob/hipster.txt;28263.61
6;convert;../fake-data/blob/hipster.txt;17162.59
7;geometry scarce;../fake-data/blob/hipster.txt;16583.97
8;among snorkel;../fake-data/blob/hipster.txt;28536.15
9;cauterise beneath;../fake-data/blob/hipster.txt;1554.27
10;supposing once;../fake-data/blob/hipster.txt;23252.51
