id;nome;caminho;mime_type;largura;altura;dados;dados_content_type
1;never polite;brake;ringworm blah;16765;7657;../fake-data/blob/hipster.png;image/png
2;bodge;mmm;psst;10691;12964;../fake-data/blob/hipster.png;image/png
3;fruitful;out;suede for;22663;7179;../fake-data/blob/hipster.png;image/png
4;gong likewise;shallow;on quizzically scented;12126;29971;../fake-data/blob/hipster.png;image/png
5;like model;firsthand energize prize;probation;9564;10085;../fake-data/blob/hipster.png;image/png
6;whoa;monthly mark after;condition;21930;30574;../fake-data/blob/hipster.png;image/png
7;when kiss inasmuch;phew lanky;baggy;27661;23613;../fake-data/blob/hipster.png;image/png
8;inasmuch;because across;silently;15610;4065;../fake-data/blob/hipster.png;image/png
9;gaffe woot;uselessly;text cymbal forenenst;10480;11535;../fake-data/blob/hipster.png;image/png
10;yawning quizzically;well-being likely without;kindly soup;14421;20858;../fake-data/blob/hipster.png;image/png
